,from_addr,block_date,block_number,approx_value
106,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-15,14,7.603150492999703
107,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-16,3,1.3004305814392865
108,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-17,13,9.152501106262207
109,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-18,14,10.659192101098597
110,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-19,5,2.719308557920158
111,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-20,8,6.161141407676041
112,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-21,23,16.853257740847766
113,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-22,36,28.55656482372433
114,a06cf856e122fbe8b5949eaced04566b28059f2fda4da4207763a0002d76fb25,2018-05-23,63,58.128466439433396
121,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-04-25,464,1453.0681558260694
122,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-04-26,472,2006.0049962913617
123,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-04-27,519,1888.0628113141283
124,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-04-28,608,2157.518311805092
125,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-04-29,643,2064.401544678025
126,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-04-30,657,2018.5369671098888
127,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-01,604,1486.0624806806445
128,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-02,542,1299.6115924650803
129,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-03,652,1535.8452997365966
130,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-04,647,1316.7022168235853
131,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-05,460,865.674362288788
132,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-06,481,717.4299204647541
133,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-07,511,972.7560305707157
134,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-08,508,1215.3855544552207
135,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-09,512,1140.727045001462
136,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-10,595,1321.9396978318691
137,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-11,406,892.7756833769381
138,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-12,423,597.2003691541031
139,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-13,665,998.7177729168907
140,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-14,732,1480.256537206471
141,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-15,615,1181.692960254848
142,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-16,553,1144.7297231815755
143,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-17,663,1542.9977267682552
144,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-18,700,1679.8125889478251
145,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-19,424,718.4091614382342
146,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-20,643,1080.4554278329015
147,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-21,679,1103.0287912609056
148,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-22,674,1152.2848287662491
149,a0762b81cb7cd5a1dca3bd800a8f7c11d81b2d90924a0c430eb7f3a55cf22443,2018-05-23,711,1276.4885411048308
150,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-01,24,14.024039264768362
151,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-02,53,18.932701412588358
152,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-03,65,22.43506578123197
153,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-04,55,18.98523720819503
154,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-05,64,22.527632479090244
155,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-06,82,40.401723698247224
156,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-07,89,42.875732604879886
157,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-08,90,38.36296681780368
158,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-09,110,41.4452884811908
159,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-10,78,34.302451183088124
160,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-11,97,54.82371909637004
161,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-12,114,64.39686770923436
162,a07702020675a4fc043c9c08a3899efd8ff15a9adada428015fbe96478767848,2018-05-13,102,56.60399307589978
